n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000359375,0.0009964,0.0001,0.0001,0.0002,0.0002,0.0058
2,0.00060625,0.000145774,0.0005,0.0005,0.0006,0.0006,0.0011
3,0.00349688,0.000269389,0.0033,0.0034,0.00345,0.0035,0.0049
4,0.0275094,0.0019103,0.0251,0.025475,0.029,0.0292,0.03
5,0.201919,0.0145304,0.1941,0.1948,0.19635,0.199875,0.2444
6,1.60471,0.0137122,1.5577,1.59753,1.60585,1.61213,1.6281
7,12.645,0.1427,12.4221,12.555,12.6427,12.6937,13.1606
8,109.165,5.35258,107.107,107.623,107.868,108.162,134.35
9,792.53,21.7315,769.251,771.177,789.166,808.271,839.673
10,5659.67,56.6056,5569.03,5621.67,5638.54,5676.58,5790.61
