n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000321875,0.000982996,0.0001,0.0001,0.0001,0.0002,0.0057
2,0.000534375,4.82559e-05,0.0005,0.0005,0.0005,0.0006,0.0006
3,0.003475,0.000234177,0.0033,0.0034,0.0034,0.0035,0.0044
4,0.0273594,0.00184843,0.0249,0.0257,0.0267,0.029225,0.0296
5,0.286716,0.0053508,0.2784,0.2832,0.2852,0.288075,0.3032
6,2.23245,0.023918,2.2102,2.21475,2.22125,2.2602,2.2823
7,16.4836,0.119065,16.3929,16.4305,16.4526,16.4825,17.0474
8,118.443,0.241392,118.117,118.256,118.481,118.57,119.315
9,856.536,15.218,844.709,847.323,848.029,865.924,900.295
10,6093.9,115.334,5980.31,6027.18,6075.41,6120.5,6573.26
