n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.0043125,0.00403459,0.0026,0.0028,0.00335,0.003525,0.0243
2,0.0219375,0.000347108,0.0215,0.0217,0.0218,0.0221,0.0231
3,0.185613,0.121567,0.1575,0.1588,0.16085,0.166025,0.8499
4,1.12017,0.0610082,1.0973,1.1016,1.10345,1.1079,1.3848
5,7.84936,0.116997,7.7748,7.80342,7.81615,7.83707,8.2359
6,55.1506,0.50915,54.6924,54.7837,54.9432,55.3912,56.605
7,394.887,7.45826,384.195,390.339,393.356,396.778,416.637
8,2779.52,38.8768,2724.57,2739.32,2780.6,2806.14,2864.44
9,19391.1,198.963,19096.3,19299.4,19337.7,19489.3,20044.7
10,131434,1322.82,129680,130527,131047,131806,135089
