n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000321875,0.000784007,0.0001,0.0001,0.0002,0.0002,0.0046
2,0.000559375,9.45597e-05,0.0005,0.0005,0.0005,0.0006,0.0009
3,0.00340625,8.40027e-05,0.0033,0.0033,0.0034,0.0035,0.0036
4,0.0272594,0.00255038,0.0249,0.0255,0.02605,0.02915,0.0323
5,0.196612,0.00455311,0.194,0.1945,0.1954,0.196225,0.2165
6,1.60671,0.0112281,1.5833,1.59882,1.60345,1.61577,1.629
7,14.4185,0.810483,14.0912,14.1746,14.2095,14.2614,17.5134
8,103.618,3.46579,102.612,102.735,102.934,103.061,122.288
9,743.291,4.07983,737.647,739.78,743.523,745.41,753.839
10,5362.58,58.7849,5241.07,5341.85,5357.16,5375.76,5595.76
