n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,0.000328125,0.00083675,0.0001,0.0001,0.0002,0.0002,0.0049
2,0.000546875,6.71271e-05,0.0005,0.0005,0.0005,0.0006,0.0008
3,0.00376563,0.000444761,0.0033,0.0034,0.0035,0.0043,0.0046
4,0.0264531,0.00147823,0.0249,0.02565,0.0261,0.0265,0.0312
5,0.198478,0.00615503,0.1877,0.19525,0.1968,0.198825,0.2183
6,1.92145,0.041645,1.8605,1.90125,1.91965,1.92515,2.0999
7,14.3372,0.174784,14.2093,14.259,14.2943,14.3518,15.1131
8,105.002,3.855,103.302,103.753,104.12,104.407,125.197
9,745.292,5.82053,741.444,742.216,743.47,745.003,763.592
10,5335.39,81.6542,5255.27,5263.87,5276.89,5428.64,5468.31
